OFFICIAL POS.,RACE NUMBER,NAME,OFFICIAL TIME,REAL TIME,REAL AVERAGE,CATEGORY
1,14,"KIPTUM, KELVIN",2:01:53,2:01:53,"2,53",M-SENIOR
2,8,"GEAY, GABRIEL",2:03:00,2:02:59,"2,55",M-SENIOR
3,12,"MUTISO, ALEXANDER",2:03:29,2:03:29,"2,56",M-SENIOR
4,1,"TOLA, TAMIRAT",2:03:40,2:03:40,"2,56",M-SENIOR
5,3,"ÖZBILEN, KAAN KIGEN",2:04:36,2:04:36,"2,57",M-M35
6,7,"DESO, CHALU",2:04:56,2:04:56,"2,58",M-SENIOR
7,15,"MENGESHA, MILKESA",2:05:29,2:05:28,"2,58",M-SENIOR
8,20,"KORIR, RONALD",2:05:37,2:05:37,"2,59",M-SENIOR
9,13,"KIPLIMO, PHILEMON",2:05:44,2:05:42,"2,59",M-SENIOR
10,16,"KIFLE, GOITOM",2:06:09,2:06:08,"2,59",M-SENIOR
11,2,"MOLLA, GETANEH",2:06:38,2:06:38,"3,00",M-SENIOR
12,22,"MPOFU, ISAAC",2:06:48,2:06:47,"3,00",M-SENIOR
13,23,"NAVARRO, NICOLAS",2:07:01,2:07:01,"3,01",M-SENIOR
14,118,"MEZNGI, ZEREI",2:07:10,2:07:09,"3,01",M-SENIOR
15,6,"TEWELDE, HISKEL",2:07:11,2:07:11,"3,01",M-SENIOR
16,107,"NOVALES, TARIKU",2:07:18,2:07:18,"3,01",M-SENIOR
17,10,"LAMDASSEM, AYAD",2:07:39,2:07:39,"3,02",M-M40
18,21,"KIPKEMBOI RUTO, BETHWEL",2:07:40,2:07:39,"3,02",M-SENIOR
19,24,"MERZOUGUI, ABDELAZIZ",2:08:00,2:08:00,"3,02",M-SENIOR
20,17,"TESFAYE, LENCHO",2:08:14,2:08:13,"3,02",M-SENIOR
21,5,"KORIR, JONATHAN",2:08:34,2:08:34,"3,03",M-SENIOR
22,43,"ABDELILAH, EL MAIMOUNI",2:08:50,2:08:49,"3,03",M-SENIOR
23,25,"FRÈRE, MEHDI",2:09:18,2:09:17,"3,04",M-SENIOR
24,11,"KIRUI, GEOFFREY",2:09:57,2:09:56,"3,05",M-SENIOR
25,125,"WITZ, VALENTIN",2:10:04,2:10:04,"3,05",M-SENIOR
26,29,"PAULA, PAULO",2:10:20,2:10:18,"3,05",M-SENIOR
27,195,"RUSSOM, SAMUEL",2:10:38,2:10:38,"3,06",M-SENIOR
28,119,"BOUR, FELIX",2:10:43,2:10:43,"3,06",M-SENIOR
29,38,"JIMENEZ VICENTE, ALEJANDRO",2:10:54,2:10:52,"3,06",M-M35
30,19,"GUERRA, JAVIER",2:12:00,2:12:00,"3,08",M-M35
31,199,"NZIKWINKUNDA, ONESPHORE",2:12:12,2:12:11,"3,08",M-SENIOR
32,46,"OMAR, OMAR",2:12:29,2:12:29,"3,08",M-SENIOR
33,40,"DONOFRIO, DANIELLE",2:12:47,2:12:47,"3,09",M-SENIOR
34,47,"ROSDAHL, LINUS",2:12:48,2:12:46,"3,09",M-SENIOR
35,45,"HAWKINS, DEREK",2:13:14,2:13:12,"3,09",M-SENIOR
36,84,"NICOLAE ALEXANDRU, SOARE",2:13:29,2:13:29,"3,10",M-SENIOR
37,57,"PIERRE, DENAYS",2:13:34,2:13:32,"3,10",M-SENIOR
38,942,"MAHIEU, JUSTIN",2:13:36,2:13:34,"3,10",M-M35
39,64,"LOPES, NUNO",2:13:41,2:13:40,"3,10",M-M35
40,58,"JEFF, LASTENNET",2:13:46,2:13:44,"3,10",M-M35
41,49,"BAEGAARD, RUNE",2:13:57,2:13:56,"3,10",M-SENIOR
42,132,"CRAIG, ADAM",2:13:58,2:13:54,"3,10",M-SENIOR
43,128,"SIMONSEN, JACOB",2:14:15,2:14:13,"3,11",M-SENIOR
44,1246,"ALEXANDRE, BOURGEOIS",2:14:48,2:14:47,"3,12",M-SENIOR
45,68,"SOUZA DO NASCIMENTO, SAMUEL",2:14:51,2:14:50,"3,12",M-SENIOR
46,206,"BERISO SHANKULE, AMANE",2:14:58,2:14:58,"3,12",F-SENIOR
47,103,"MORISSEAU, BRICE",2:15:05,2:15:02,"3,12",M-SENIOR
48,65,"ALTAMIMI, EBRAHIM MOHAMED",2:15:23,2:15:21,"3,13",M-SENIOR
49,62,"LACHGAR LATRACHE, CHAKIB",2:16:09,2:16:09,"3,14",M-SENIOR
50,55,"FREDDY, GUIMARD",2:16:25,2:16:24,"3,14",M-M35
51,69,"BAUM, LORENZ",2:16:32,2:16:31,"3,14",M-SENIOR
52,126,"TURPIN, ALEXIS",2:16:40,2:16:38,"3,14",M-SENIOR
53,201,"GIDEY, LETESENBET",2:16:49,2:16:49,"3,15",F-SENIOR
54,70,"APPACHANGADA BOPAIAH, BELLIAPPA",2:16:51,2:16:50,"3,15",M-SENIOR
55,138,"OLMOS, JESÚS",2:16:57,2:16:55,"3,15",M-M35
56,146,"MUTAI, MICHAEL",2:16:57,2:16:57,"3,15",M-SENIOR
57,280,"SOI, BERNARD",2:16:58,2:16:58,"3,15",M-SENIOR
58,139,"TOUCAS, ADRIEN",2:16:59,2:16:58,"3,15",M-SENIOR
59,108,"ROULLEAU, LÉO",2:17:01,2:16:59,"3,15",M-SENIOR
60,136,"DE LEON, FRANCISCO JAVIER",2:17:12,2:17:12,"3,15",M-SENIOR
